name,release_date,image_src
기적의 분식집,2022-12-15,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119001/images/2122_IFSUNSETS_IND_r_tld.png
이프선셋 (IfSunSets),2024-02-02,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119000/indie-center/1611.jpg
그래비티 서킷 (Gravity Circuit),2023-07-14,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119001/images/1723.png
나는 문어,2024-03-12,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119001/images/3117_IAMOCTO_IND_0.png
회소의존 (The Chrono Jotter),2022-05-17,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119000/indie-center/936.png
'하나'님의 캠퍼스 라이프! 시크릿 플러스,2022-11-04,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119000/indie-center/1368.png
페포 DEMO,2020-08-12,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119001/application_no/119001/images/Pepo_cover.jpg
미래세계의 맹인,2021-07-14,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119000/indie-center/436_1684716472058.png
햄스터담 (Hamsterdam),2020-12-10,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119000/indie-center/76_1684716424334.png
보스헌터 포르코,2021-11-30,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119001/application_no/119001/images/KakaoTalk_20211127_212542091.png
좀비 슈팅스타: 아케이드,2023-01-17,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119000/indie-center/1655.png
Metal Unit,2023-02-28,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119000/indie-center/1746.jpg
로코 아일랜드 (Rocco's Island),2023-09-26,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119001/images/2226_ROCCOSISLAND_IND_r_tld.jpg
Cat Pickax,2021-11-30,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119001/application_no/119001/images/676_CPAX_DEMO_01_r_tld.png
던전 오브 나흘벅: 더 아뮬렛 오브 카오스,2022-10-04,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119000/indie-center/1614_1684716558755.png
통신방 - 신선의 길 (Noobs Want to Live),2023-10-24,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119001/images/2140_NOOBSWANTTOLIVE_IND_r_tld.jpg
그녀의 세계,2022-12-15,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119001/images/1589.png
연쇄청소부들 (Serial Cleaners),2022-09-23,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119000/indie-center/1027.png
그랑 엠파이어 : 아마네,2022-12-06,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119000/indie-center/1147.png
샴블즈 (Shambles),2023-11-30,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119001/images/1585_Shambles_r_tld.jpg
억새밭 사잇길로,2023-08-31,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119000/indie-center/1599_1684716559330.jpg
ATOM RPG,2022-05-17,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119000/indie-center/134.png
DLC_러브인 로그인 (시크릿 플러스) 애프터스토리 미니 웹툰,2023-02-08,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119000/indie-center/1730.png
이모탈 라이프 - 신령의 밭 (Immortal Life),2022-10-18,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119000/indie-center/1893.png
아톰 RPG 트루도그라드 (ATOM RPG Trudograd),2023-07-05,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119000/indie-center/1074.png
지금 우리 학교는_All of us are dead,2023-05-30,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119001/images/2684_GETAMPED_r_tld.png
겟앰프드,2023-03-29,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119000/indie-center/1372_1684716541230.jpg
크로노 아크,2020-03-06,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119001/images/66_chrono_ark_r_tld.png
서큐하트 DEMO,2023-09-28,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119001/images/2447_SUCCUHEART_DEMO_02_IND_r_tld.png
행불행 : 행복의 시작은 지금부터 리메이크,2023-08-25,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119001/images/2218_HAANHA_IND_r_tld.png
로스팅 리포트 : 대학 교수 살인사건,2022-12-06,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119001/images/1592_roasting_report2_r_tld.jpg
메탈릭 차일드,2021-09-15,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119000/indie-center/553.png
스팀펑크 서바이벌,2023-10-24,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119001/images/2299_STEAMPUNKSURVIVORS_IND_0.jpg
별에게 소원을,2022-07-05,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119000/indie-center/1055_1684716525650.png
턴택,2019-10-16,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119000/indie-center/21_1684716425084.png
Quantum_Beat,2021-03-21,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119001/application_no/119001/images/0_9.png
장막소녀,2021-08-05,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119000/indie-center/143.png
안개 탐정: 네온 바다의 이야기 (Tales of the Neon Sea),2023-06-27,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119000/indie-center/1148.png
백룸컴퍼니 (Backroom Company),2024-08-27,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119001/images/4049_BACKROOM_COMPANY_DEMO_IND_0.png
청구야담 : 팔도견문록 PC완전판,2024-02-29,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119001/images/2016_DYNASTYDETECTIVE_IND_r_tld.png
블루 웬즈데이,2023-07-12,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119000/indie-center/1846.png
샷건 킹: 파이널 체크메이트 (Shotgun King The Final Checkmate),2022-10-11,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119000/indie-center/1150.png
루시의 일기,2021-03-12,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119000/indie-center/219.png
Sentimental K,2021-07-01,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119001/images/417_sentimentalk2020_r_tld.png
샴블즈(Shambles) Demo,2023-04-28,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119001/images/1914_Shambles_DEMO_01_r_tld.jpg
포탈 이스케이프,2023-04-27,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119000/indie-center/1628.jpg
52헤르츠,2023-12-11,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119001/images/757.426.png
어드벤처 오브 플라워,2023-02-01,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119000/indie-center/1679.png
히어로즈 아워 (Hero's Hour),2022-03-02,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119000/indie-center/816_1684716493854.png
언다잉 (UNDYING),2023-12-07,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119000/indie-center/1073.png
회고록,2023-03-14,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119000/indie-center/1725.jpg
일립스 (Elypse),2023-05-18,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119000/indie-center/1786.jpg
STOVE 실험실,2022-12-08,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119001/images/78_STOVEINDIE_1_DEMO_01_r_tld.jpg
올드 월드 (Old World),2024-05-29,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119001/images/2470_OLDWORLD_IND_r_tld.jpg
문경새재,2022-10-13,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119001/images/3687_RAGNAROK_IND_0_1718690003897.jpg
백의 소각자_DEMO,2024-03-26,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119000/indie-center/1173.png
라그나로크 온라인,2024-07-31,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119001/images/3375_SOINNM_IND_DEMO_01_IND_0_1710831174101.png
'하나'님의 캠퍼스 라이프!,2022-11-04,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119000/indie-center/1009.png
Unsouled,2023-02-28,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119000/indie-center/1739.jpg
딜리셔스 프리티 걸스 사천성 (Delicious! Pretty Girls Mahjong Solitaire),2022-06-28,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119000/indie-center/1252.png
썸썸 편의점 / 아델라 애프터 스토리,2021-07-14,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119000/indie-center/463.png
페이블덤 (Fabledom),2024-05-14,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119001/images/1981_KNIGHTOVERLOADED_IND_v_tld.jpg
나이트 오버로디드 (Knight Overloaded),2023-11-07,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119001/images/3214_FABLEDOM_IND_0_1713781347870.png
애니멀워터팡,2023-12-19,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119001/images/2792_ANIMALWATERPANG_IND_r_tld.png
피그말리온 (Pygmalion),2023-11-24,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119001/images/2366_PYGMALION_IND_r_tld.jpg
Scroll Survival,2023-11-14,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119001/images/2542_SCROLLSURVIVAL__IND_r_tld.png
포스탈 4 : 후회는 ㅇ벗다 (POSTAL 4: No Regerts),2023-10-26,https://d2x8kymwjom7h7.cloudfront.net/live/application_no/119000/indie-center/1076_1684716525132.jpg
